,deflator inflation - forecast,deflator inflation - actual,nominal interest
1993-04-01,2.7558,2.1169559579420794,3.3800000000000003
1993-07-01,3.0522,2.0966965381210345,3.4233333333333333
1993-10-01,2.8332,2.0930519941919856,3.526666666666667
1994-01-01,2.7631,2.158406100110688,3.91
1994-04-01,2.8924,2.155686790489897,5.133333333333333
1994-07-01,3.0517,2.0734137548108267,5.6000000000000005
1994-10-01,3.1029,2.0123159789992906,6.596666666666667
1995-01-01,2.8929,1.948775055679297,6.726666666666667
1995-04-01,2.9362,1.8825538032978484,5.97
1995-07-01,2.5677,1.715350223546963,5.653333333333333
1995-10-01,2.3505,1.7679426901799022,5.4433333333333325
1996-01-01,2.3623,1.8864303954418737,5.123333333333334
1996-04-01,2.5023,1.6669606632563116,5.663333333333333
1996-07-01,2.505,1.7772633368009272,5.783333333333334
1996-10-01,2.565,1.5739998542592781,5.4799999999999995
1997-01-01,2.5782,1.1140890981528262,5.646666666666667
1997-04-01,2.423,1.1523669066828557,5.8500000000000005
1997-07-01,2.455,1.138719336634808,5.539999999999999
1997-10-01,2.2968,1.0875959537987034,5.483333333333333
1998-01-01,2.2338,1.2723156718342565,5.3133333333333335
1998-04-01,2.0483,1.4151145671035925,5.41
1998-07-01,2.0345,1.345099992883081,5.093333333333334
1998-10-01,1.8525,1.6209387818829413,4.39
1999-01-01,1.5446,1.96513963951217,4.663333333333333
1999-04-01,1.7405,2.2142665858574384,4.88
1999-07-01,1.8675,2.4494382022471894,5.16
1999-10-01,1.813,2.4331308052238265,5.6066666666666665
2000-01-01,1.9881,2.4295486395360166,6.1866666666666665
2000-04-01,2.215,2.407611693325995,6.216666666666666
2000-07-01,2.3743,2.2126562842728736,6.13
2000-10-01,2.2595,1.9839917095054282,5.8999999999999995
2001-01-01,2.1218,1.6323047330064178,4.596666666666667
2001-04-01,2.0696,1.3774809468666716,3.78
2001-07-01,2.0891,1.464631562005425,3.3033333333333332
2001-10-01,1.7377,1.7341426890576495,2.2433333333333336
2002-01-01,1.7832,1.9113119277060164,2.32
2002-04-01,1.9281,1.9139582143473888,2.3433333333333333
2002-07-01,1.8936,2.0079312623925816,1.8133333333333332
2002-10-01,1.9253,2.0370881467754787,1.53
2003-01-01,1.8409,2.2652070990439643,1.3
2003-04-01,1.7748,2.7290499152873737,1.1533333333333333
2003-07-01,1.7226,2.792572146846539,1.2233333333333334
2003-10-01,1.7551,2.962428676309581,1.3
2004-01-01,1.5686,3.050145153658268,1.2233333333333334
2004-04-01,1.8331,2.961027098345692,1.7766666666666666
2004-07-01,2.1528,3.244919570369631,2.08
